label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41
stop,0.74,1.11,0.67,1.09,0.61,1.02,0.55,0.97,0.49,0.94,0.66,0.90,0.64,0.78,0.64,0.70,0.64,0.63,0.73,0.89,0.73,0.73,0.73,0.63,0.73,0.55,0.79,0.91,0.81,0.76,0.82,0.66,0.83,0.59,0.85,0.94,0.88,0.85,0.89,0.78,0.90,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.72,1.11,0.64,1.07,0.57,0.99,0.51,0.91,0.46,0.85,0.63,0.84,0.62,0.71,0.61,0.63,0.61,0.57,0.70,0.82,0.70,0.67,0.70,0.57,0.71,0.50,0.76,0.84,0.77,0.69,0.78,0.60,0.79,0.53,0.82,0.88,0.84,0.77,0.86,0.70,0.87,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.71,1.06,0.63,1.02,0.56,0.94,0.51,0.86,0.47,0.79,0.61,0.78,0.60,0.65,0.59,0.58,0.59,0.51,0.68,0.76,0.67,0.62,0.67,0.52,0.68,0.45,0.73,0.77,0.74,0.64,0.75,0.55,0.75,0.48,0.79,0.81,0.81,0.71,0.82,0.64,0.83,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.70,1.01,0.61,0.97,0.54,0.89,0.50,0.81,0.46,0.74,0.60,0.73,0.58,0.61,0.58,0.53,0.58,0.47,0.66,0.71,0.65,0.57,0.65,0.48,0.65,0.40,0.71,0.72,0.72,0.59,0.72,0.50,0.72,0.43,0.77,0.75,0.78,0.65,0.79,0.59,0.80,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.67,0.91,0.58,0.83,0.52,0.74,0.48,0.66,0.44,0.60,0.56,0.60,0.55,0.49,0.54,0.41,0.54,0.34,0.61,0.58,0.60,0.46,0.60,0.37,0.60,0.30,0.66,0.58,0.66,0.47,0.66,0.39,0.66,0.32,0.71,0.60,0.72,0.51,0.72,0.45,0.73,0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.66,0.82,0.57,0.79,0.51,0.71,0.47,0.62,0.43,0.57,0.56,0.56,0.54,0.45,0.53,0.38,0.53,0.32,0.61,0.53,0.60,0.41,0.59,0.33,0.59,0.26,0.65,0.54,0.65,0.42,0.65,0.35,0.65,0.28,0.70,0.56,0.72,0.48,0.72,0.42,0.72,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.65,0.79,0.57,0.76,0.51,0.68,0.47,0.60,0.44,0.54,0.55,0.53,0.53,0.42,0.53,0.36,0.53,0.30,0.60,0.51,0.59,0.39,0.59,0.31,0.59,0.24,0.65,0.52,0.65,0.40,0.65,0.33,0.65,0.27,0.70,0.54,0.71,0.46,0.71,0.40,0.71,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.64,0.75,0.56,0.72,0.50,0.64,0.47,0.56,0.44,0.50,0.55,0.50,0.53,0.39,0.53,0.33,0.53,0.27,0.60,0.48,0.59,0.36,0.59,0.28,0.59,0.22,0.64,0.48,0.65,0.37,0.65,0.30,0.65,0.24,0.69,0.51,0.70,0.43,0.71,0.37,0.71,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.64,0.75,0.56,0.71,0.50,0.64,0.47,0.55,0.44,0.50,0.55,0.49,0.53,0.39,0.53,0.32,0.53,0.27,0.60,0.47,0.59,0.35,0.59,0.28,0.59,0.22,0.64,0.48,0.65,0.37,0.65,0.30,0.65,0.24,0.69,0.51,0.70,0.43,0.71,0.38,0.71,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop,0.64,0.74,0.56,0.71,0.50,0.63,0.47,0.55,0.44,0.50,0.55,0.49,0.53,0.38,0.53,0.32,0.53,0.26,0.60,0.47,0.59,0.35,0.59,0.28,0.59,0.22,0.64,0.48,0.65,0.37,0.65,0.30,0.65,0.24,0.69,0.50,0.70,0.42,0.71,0.37,0.71,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
